What is your job title?,For how many years have you worked in your <strong>current</strong> position?,For how many years <strong>total</strong> have you worked in a library setting?,Select the scientific area(s) you support in your data-related work.,,,,,,,"In an average week, what percentage of your time do you spend on data-related work and other work? (The sum of your responses should add up to 100.)",,Which of the following educational experience or training have you completed?  Check all that apply.,,,,,,,Data management,,,,,,,,,,Technology and IT,,,,,Evaluation and assessment,,,Teaching and instruction,,,,,Library services,,,,,,Marketing and outreach,,,,Professional involvement,,,Skills and personal attributes,,,,,,,Educational background,,,,
Open-Ended Response,Open-Ended Response,Open-Ended Response,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,Other (please specify),Percent of time spent on data-related work,Percent of time spent on other work,ALA-accredited masters degree,Science masters degree,"Other non-ALA, non-science masters degree",Undergraduate science degree,PhD (any discipline),Specialized librarianship certification (such as data or medical library certification),"Other non-degree, non-certificate training in data, science, or specialized librarianship",Data management planning,"Data preservation, curation, or stewardship",Applying or developing ontologies or metadata,"Support for data resources (such as NCBI and other molecular biology databases, data repositories, etc)",Support for clinical data management,Support for general data management,Bioinformatics support,Support for data use and analysis,Support for institutional repository,Development of data services,Data visualization,"Scientific programming (such as R, Python, Javascript, etc)","Statistical software (such as SAS, SPSS, MATLAB, etc)",Developing and maintaining web sites,GIS software and data,Evaluation of classes or instructional programs,Evaluation of services,Needs assessment,Course-integrated instruction,Development of course content or curricula,"Development of online tutorials, course materials, or instructional guides",One-on-one consultation or instruction,Staff/librarian training,Collection development,Library and institutional committee service,Reference support,Literature searching and systematic review support,"Scholarly communication support (copyright, support for scholarly publishing, etc)",Cataloging,Data-specific liaison services,General library liaison services,Social media,"Developing relationships with researchers, faculty, etc",AHIP membership,Participation in continuing education or professional development activities,Conducting research and/or writing journal articles,Customer service skills,Innovation and creativity,Oral communication and presentation skills,Written communication skills,Teaching skills,Teamwork and interpersonal skills,Management and leadership skills,"ALA-accredited master's degree (i.e. MLS, MLIS, or equivalent)",Certificate or specialized education in data,Bachelor's degree in a science or biomedical field,Graduate degree in a science or biomedical field,PhD or doctoral degree
redacted,4,4,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,all of them,100,,ALA-accredited master’s degree,,,Undergraduate science degree,,,"Other non-degree, non-certificate training in data, science, or specialized librarianship",Absolutely essential,Absolutely essential,Very important,Slightly important,Very important,Absolutely essential,Very important,Very important,Very important,Absolutely essential,Very important,Very important,Important,Very important,Very important,Important,Important,Important,Very important,Very important,Very important,Very important,Very important,Slightly important,Slightly important,Slightly important,Slightly important,Important,Slightly important,Important,Important,Important,Absolutely essential,Not at all important,Very important,Important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important
redacted,2,5,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,Arts and Humanities,100,0,ALA-accredited master’s degree,,,,,,,Very important,Absolutely essential,Important,Important,Important,Very important,Slightly important,Important,Absolutely essential,Absolutely essential,Slightly important,Slightly important,Important,Important,Slightly important,Slightly important,Very important,Very important,Slightly important,Slightly important,Important,Absolutely essential,Very important,Not at all important,Slightly important,Not at all important,Slightly important,Absolutely essential,Not at all important,Absolutely essential,Very important,Important,Absolutely essential,Not at all important,Important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Very important,Important,Important,Slightly important,Slightly important,Slightly important
redacted,6,6,,,Physical sciences,,Engineering and/or computer science,,,90,10,ALA-accredited master’s degree,,,Undergraduate science degree,PhD (any discipline),,,Very important,Absolutely essential,Absolutely essential,Don't know or N/A,Don't know or N/A,Absolutely essential,Not at all important,Important,Very important,Absolutely essential,Slightly important,Important,Slightly important,Slightly important,Slightly important,Important,Very important,Very important,Don't know or N/A,Slightly important,Important,Absolutely essential,Important,Not at all important,Very important,Important,Slightly important,Very important,Important,Absolutely essential,Slightly important,Slightly important,Absolutely essential,Don't know or N/A,Absolutely essential,Very important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Important,Absolutely essential,Very important,Slightly important,Very important,Slightly important,Slightly important,Slightly important
redacted,1,20,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,,80,20,,Science master’s degree,,Undergraduate science degree,,,,Absolutely essential,Absolutely essential,Very important,Important,Important,Absolutely essential,Not at all important,Slightly important,Absolutely essential,Absolutely essential,Important,Important,Important,Very important,Important,Important,Important,Important,Very important,Very important,Very important,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Important,Important,Absolutely essential,Don't know or N/A,Absolutely essential,Important,Important,Absolutely essential,Don't know or N/A,Absolutely essential,Very important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Very important,Very important,Absolutely essential,Absolutely essential,Important,Important,Important,Not at all important
redacted,2,4,Biomedical and/or health sciences,,,,,,,10,90,ALA-accredited master’s degree,,,,,Specialized librarianship certification (such as data or medical library certification),,Very important,Very important,Very important,,Very important,Very important,Important,Very important,Very important,Very important,Absolutely essential,Slightly important,Important,Important,Very important,Important,Very important,Very important,Very important,,Very important,Slightly important,,Important,Important,Important,Important,Important,Not at all important,Important,Important,Slightly important,Absolutely essential,Not at all important,Very important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,,,Very important,Very important,Slightly important,Slightly important
redacted,3,4,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,,25,75,ALA-accredited master’s degree,,,,,,"Other non-degree, non-certificate training in data, science, or specialized librarianship",Absolutely essential,Slightly important,Important,Very important,Slightly important,Absolutely essential,Not at all important,Important,Slightly important,Important,Important,Important,Very important,Not at all important,Not at all important,Very important,Very important,Important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Slightly important,Important,Absolutely essential,Slightly important,Very important,Not at all important,Very important,Very important,Important,Very important,Not at all important,Absolutely essential,Slightly important,Absolutely essential,Very important,Very important,Very important,Absolutely essential,Very important,Very important,Important,Not at all important,Not at all important,Not at all important,Not at all important
redacted,1,6,Biomedical and/or health sciences,,,,,,,80,20,ALA-accredited master’s degree,Science master’s degree,,Undergraduate science degree,PhD (any discipline),,"Other non-degree, non-certificate training in data, science, or specialized librarianship",Important,Very important,Very important,Very important,Important,Absolutely essential,Not at all important,Very important,Slightly important,Absolutely essential,Not at all important,Very important,Slightly important,Not at all important,Not at all important,Absolutely essential,Absolutely essential,Important,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Not at all important,Slightly important,Not at all important,Not at all important,Slightly important,Not at all important,Important,Not at all important,Not at all important,Absolutely essential,Not at all important,Important,Absolutely essential,Important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Important,Important,Absolutely essential,Absolutely essential,Absolutely essential
redacted,4,6,,Life sciences,Physical sciences,,Engineering and/or computer science,,,25,75,ALA-accredited master’s degree,,,Undergraduate science degree,,,"Other non-degree, non-certificate training in data, science, or specialized librarianship",Absolutely essential,Absolutely essential,Important,Very important,Slightly important,Absolutely essential,Not at all important,Very important,Very important,Absolutely essential,Very important,Slightly important,Important,Slightly important,Very important,,,,Very important,Very important,Very important,Absolutely essential,Very important,Important,Important,Very important,Very important,Absolutely essential,Slightly important,Absolutely essential,Very important,Slightly important,Absolutely essential,Not at all important,Very important,Absolutely essential,Very important,Very important,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Very important,Important,Important,Slightly important,Slightly important
redacted,3,3,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,,80,20,ALA-accredited master’s degree,Science master’s degree,,Undergraduate science degree,,,,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Slightly important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,,Slightly important,Very important,Absolutely essential,Very important,Important
redacted,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redacted,9,11,Biomedical and/or health sciences,,,,,,,75,25,ALA-accredited master’s degree,,,,,,,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Absolutely essential,Important,Very important,Very important,Very important,Important,Important,Slightly important,Important,Important,Important,Important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Important,Important,Important,Very important,Important,Important,Important,Slightly important,Absolutely essential,Very important,Important,Important,Very important,Important,Important,Absolutely essential,Very important,Very important,Very important,Important,Important,Important,Important,Important
redacted,1,5,Biomedical and/or health sciences,,,Mathematics and/or statistics,Engineering and/or computer science,,,80,20,ALA-accredited master’s degree,Science master’s degree,,Undergraduate science degree,,,"Other non-degree, non-certificate training in data, science, or specialized librarianship",Very important,Slightly important,Important,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Slightly important,Absolutely essential,Very important,Very important,Very important,Important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Very important,Slightly important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Important,Very important,Very important,Very important,Absolutely essential,Not at all important,Absolutely essential,Important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Important,Important,Important,Important,Not at all important
redacted,1,1,Biomedical and/or health sciences,,,,,Social sciences,public health,25,75,ALA-accredited master’s degree,,,,,,"Other non-degree, non-certificate training in data, science, or specialized librarianship",Important,Important,Slightly important,Slightly important,Not at all important,Very important,Slightly important,Important,Not at all important,Very important,Slightly important,Slightly important,Slightly important,Important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Very important,Slightly important,Absolutely essential,Absolutely essential,Absolutely essential,Slightly important,Absolutely essential,Absolutely essential,Slightly important,Absolutely essential,Don't know or N/A,Very important,Important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Important,Slightly important,Slightly important,Slightly important,Slightly important
redacted,1,3,Biomedical and/or health sciences,,,,,,,10,90,ALA-accredited master’s degree,,"Other non-ALA, non-science master’s degree",Undergraduate science degree,,,,Very important,Very important,Don't know or N/A,Important,Don't know or N/A,Very important,Don't know or N/A,Important,Don't know or N/A,Very important,Important,Slightly important,Very important,Not at all important,Don't know or N/A,Slightly important,Slightly important,Important,Important,Don't know or N/A,Important,Important,Important,Very important,Important,Important,Very important,Don't know or N/A,Not at all important,Important,Important,Don't know or N/A,Important,Slightly important,Important,Absolutely essential,Slightly important,Important,Important,Important,Very important,Very important,Important,Absolutely essential,,Absolutely essential,Absolutely essential,Absolutely essential
redacted,1,1,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,,90,10,,Science master’s degree,,Undergraduate science degree,,,,Very important,Very important,Slightly important,Slightly important,Not at all important,Absolutely essential,Slightly important,Slightly important,Absolutely essential,Absolutely essential,Slightly important,Very important,Slightly important,Slightly important,Not at all important,Important,Important,Important,Important,Not at all important,Slightly important,Very important,Slightly important,Not at all important,Not at all important,Not at all important,Not at all important,Slightly important,Not at all important,Absolutely essential,Not at all important,Slightly important,Absolutely essential,Not at all important,Important,Slightly important,Absolutely essential,Absolutely essential,Very important,Important,Very important,Absolutely essential,Absolutely essential,Not at all important,Not at all important,Very important,Very important,Important
redacted,7,24,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,,100,,ALA-accredited master’s degree,,"Other non-ALA, non-science master’s degree",,,,"Other non-degree, non-certificate training in data, science, or specialized librarianship",Absolutely essential,Absolutely essential,Absolutely essential,Important,Important,Absolutely essential,Slightly important,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Very important,Absolutely essential,Important,Absolutely essential,Very important,Very important,Very important,Very important,Important,Very important,Absolutely essential,Very important,Very important,Very important,Very important,Very important,Absolutely essential,Slightly important,Absolutely essential,Important,Important,Absolutely essential,Slightly important,Absolutely essential,Important,Very important,Very important,Very important,Very important,Very important,Absolutely essential,Very important,Very important,Slightly important,Slightly important,Slightly important,Slightly important
redacted,4,4,,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,Humanities,100,0,ALA-accredited master’s degree,,,Undergraduate science degree,PhD (any discipline),,,Very important,Very important,Slightly important,Slightly important,Not at all important,Absolutely essential,Not at all important,Very important,Important,Absolutely essential,Slightly important,Not at all important,Slightly important,Important,Slightly important,Slightly important,Slightly important,Important,Important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Not at all important,Very important,Important,Not at all important,Very important,Not at all important,Very important,Slightly important,Slightly important,Absolutely essential,Don't know or N/A,Absolutely essential,Important,Very important,Important,Very important,Very important,Very important,Absolutely essential,Important,Important,Slightly important,Slightly important,Slightly important,Slightly important
redacted,1,4,,,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,Humanities,90,10,ALA-accredited master’s degree,,,Undergraduate science degree,,,,Absolutely essential,Very important,Important,Important,Not at all important,Absolutely essential,Not at all important,Important,Important,Absolutely essential,Important,Slightly important,Slightly important,Important,Important,Very important,Very important,Very important,Don't know or N/A,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Not at all important,Very important,Slightly important,Slightly important,Not at all important,Not at all important,Absolutely essential,Slightly important,Important,Absolutely essential,Don't know or N/A,Absolutely essential,Slightly important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Important,Slightly important,Important,Slightly important,Not at all important
redacted,1,12,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,,100,,ALA-accredited master’s degree,,,,,Specialized librarianship certification (such as data or medical library certification),"Other non-degree, non-certificate training in data, science, or specialized librarianship",Absolutely essential,Absolutely essential,Important,Very important,Not at all important,Absolutely essential,Important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Very important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Important,Important,Slightly important,Absolutely essential,Important,Slightly important,Very important,Don't know or N/A,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Important,Not at all important
redacted,17,24,Biomedical and/or health sciences,Life sciences,Physical sciences,,Engineering and/or computer science,Social sciences,Humanities,90,10,ALA-accredited master’s degree,,"Other non-ALA, non-science master’s degree",,,,,Absolutely essential,Absolutely essential,Important,Slightly important,Slightly important,Absolutely essential,Not at all important,Absolutely essential,Slightly important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Important,Important,Very important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Important,Absolutely essential,Not at all important,Very important,Not at all important,Absolutely essential,Not at all important,Important,Absolutely essential,Don't know or N/A,Absolutely essential,Important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Slightly important,Not at all important,Not at all important,Not at all important
redacted,3,3,Biomedical and/or health sciences,,,Mathematics and/or statistics,,,,25,75,,Science master’s degree,,,PhD (any discipline),,,Slightly important,Slightly important,Not at all important,Absolutely essential,Slightly important,Important,Absolutely essential,Absolutely essential,Important,Important,Absolutely essential,Very important,Very important,Very important,Slightly important,Important,Important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Important,Not at all important,Important,Important,Important,Important,Not at all important,Very important,Important,Important,Absolutely essential,Not at all important,Slightly important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Very important,Not at all important,Slightly important,Very important,Very important,Very important
redacted,14,15,,,Physical sciences,,Engineering and/or computer science,,,40,60,ALA-accredited master’s degree,,,,,,,Slightly important,Important,Important,Important,Slightly important,Very important,Very important,Very important,Absolutely essential,Absolutely essential,Very important,Important,Important,Slightly important,Important,Very important,Very important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Not at all important,Important,Absolutely essential,Not at all important,Absolutely essential,Very important,Important,Absolutely essential,Not at all important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Very important,Absolutely essential,Absolutely essential,Very important,Very important,Slightly important,Important,Slightly important,Not at all important
redacted,1,1,Biomedical and/or health sciences,Life sciences,Physical sciences,,,Social sciences,humanities,25,75,ALA-accredited master’s degree,,,,,,,Absolutely essential,Very important,Important,Absolutely essential,Very important,Very important,Absolutely essential,Very important,Absolutely essential,Important,Absolutely essential,Very important,Very important,Important,Absolutely essential,Important,Very important,Absolutely essential,Very important,Slightly important,Absolutely essential,Absolutely essential,Absolutely essential,Important,Absolutely essential,Very important,Slightly important,Slightly important,Slightly important,Absolutely essential,Absolutely essential,Slightly important,Absolutely essential,Not at all important,Absolutely essential,Slightly important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Very important,Not at all important,Not at all important,Not at all important
redacted,1,10,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,Whatever comes at me,90,10,ALA-accredited master’s degree,,,,,Specialized librarianship certification (such as data or medical library certification),,Very important,Very important,Slightly important,Don't know or N/A,Slightly important,Absolutely essential,Not at all important,Slightly important,Very important,Absolutely essential,Not at all important,Slightly important,Slightly important,Very important,Not at all important,Important,Very important,Very important,Slightly important,Very important,Very important,Very important,Very important,Slightly important,Slightly important,Important,Important,Absolutely essential,Important,Important,Important,Important,Absolutely essential,Don't know or N/A,Very important,Important,Absolutely essential,Absolutely essential,Absolutely essential,Important,Absolutely essential,Absolutely essential,Very important,Important,Important,Not at all important,Not at all important,Not at all important
redacted,31,36,Biomedical and/or health sciences,,,,,,,45,55,ALA-accredited master’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redacted,1,4,,Life sciences,,,,,,25,75,,,,,PhD (any discipline),,"Other non-degree, non-certificate training in data, science, or specialized librarianship",Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Not at all important,Absolutely essential,Not at all important,Very important,Very important,Very important,Important,Very important,Important,Very important,Slightly important,Not at all important,Very important,Slightly important,Slightly important,Not at all important,Slightly important,Absolutely essential,Slightly important,Absolutely essential,Not at all important,Absolutely essential,Very important,Very important,Important,Important,Not at all important,Slightly important,Absolutely essential,Don't know or N/A,Very important,Not at all important,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Important,Absolutely essential,Very important,Not at all important,Slightly important,Very important,Very important,Important
redacted,2,6,,,Physical sciences,,Engineering and/or computer science,,,50,50,ALA-accredited master’s degree,,,,,,,Absolutely essential,Very important,Important,Very important,Slightly important,Absolutely essential,Important,Important,Very important,Absolutely essential,Very important,Slightly important,Slightly important,Very important,Slightly important,Absolutely essential,Absolutely essential,Absolutely essential,Important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Very important,Very important,Very important,Not at all important,Absolutely essential,Absolutely essential,Not at all important,Absolutely essential,Don't know or N/A,Absolutely essential,Very important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Important,Slightly important,Very important,Slightly important,Slightly important,Not at all important
redacted,4,4,,,,,,,I've worked in data services where we (ostensibily) support all researchers!,100,0,,,,,PhD (any discipline),,,Absolutely essential,Absolutely essential,Important,Very important,Very important,Very important,Important,Very important,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Important,Don't know or N/A,Important,Not at all important,Very important,Very important,Very important,Absolutely essential,Don't know or N/A,Absolutely essential,Slightly important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Very important,Don't know or N/A,Don't know or N/A,Don't know or N/A,Don't know or N/A,Don't know or N/A
redacted,0,4,Biomedical and/or health sciences,,,,,,,20,80,ALA-accredited master’s degree,,"Other non-ALA, non-science master’s degree",Undergraduate science degree,PhD (any discipline),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redacted,6,11,Biomedical and/or health sciences,Life sciences,,,,,,20,80,ALA-accredited master’s degree,,,,,,"Other non-degree, non-certificate training in data, science, or specialized librarianship",Absolutely essential,Absolutely essential,Very important,Very important,Important,Absolutely essential,Important,Very important,Important,Absolutely essential,Important,Slightly important,Slightly important,Not at all important,Slightly important,Important,Important,Very important,Very important,Very important,Important,Absolutely essential,Important,Slightly important,Important,Important,Very important,Very important,Not at all important,Very important,Very important,Not at all important,Absolutely essential,Not at all important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Absolutely essential,Not at all important,Not at all important,Not at all important,Not at all important
redacted,12,14,,Life sciences,,,,,,20,80,ALA-accredited master’s degree,Science master’s degree,,,,,,Absolutely essential,Very important,Important,Very important,Slightly important,Very important,Important,Important,Very important,Absolutely essential,Important,Important,Slightly important,Not at all important,Slightly important,Important,Important,Important,Very important,Slightly important,Important,Very important,Very important,Absolutely essential,Very important,Important,Important,,Slightly important,Very important,Very important,Important,Very important,Slightly important,Important,Slightly important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Very important,Very important,Important,Very important,Slightly important,Very important,Important,Slightly important
redacted,8,16,Biomedical and/or health sciences,Life sciences,,,,,Institutional (data about research not research data),50,50,ALA-accredited master’s degree,,,,PhD (any discipline),,,Slightly important,Important,Slightly important,Important,Important,Very important,Absolutely essential,Absolutely essential,Not at all important,Important,Very important,Absolutely essential,Very important,Not at all important,Important,Important,Important,Important,Very important,Important,Slightly important,Absolutely essential,Slightly important,Slightly important,Important,Slightly important,Not at all important,Important,Not at all important,Important,Important,Slightly important,Absolutely essential,Not at all important,Important,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Absolutely essential,Very important,Not at all important,Important,Important,Very important,Very important
redacted,1,11,Biomedical and/or health sciences,Life sciences,Physical sciences,Mathematics and/or statistics,Engineering and/or computer science,Social sciences,,75,25,ALA-accredited master’s degree,Science master’s degree,,Undergraduate science degree,,,,Absolutely essential,Very important,Important,Important,Important,Very important,Very important,Very important,Absolutely essential,Absolutely essential,Very important,Important,Important,Slightly important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Very important,Important,Important,Don't know or N/A,Important,Very important,Not at all important,Absolutely essential,Very important,Slightly important,Absolutely essential,Slightly important,Very important,Very important,Absolutely essential,Very important,Absolutely essential,Very important,Absolutely essential,Important,Absolutely essential,Very important,Important,Slightly important,Very important,Very important
redacted,12,13,Biomedical and/or health sciences,,,,,,,70,30,ALA-accredited master’s degree,,,,,,,Important,Important,Slightly important,Very important,Very important,Important,Important,Slightly important,Important,Slightly important,Important,Slightly important,Slightly important,Important,Slightly important,Slightly important,Slightly important,Slightly important,Important,Slightly important,Slightly important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Slightly important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important
redacted,5,36,Biomedical and/or health sciences,,,,,,,25,75,ALA-accredited master’s degree,,,,,,,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Very important,Very important,Very important,Very important,Absolutely essential,Absolutely essential,Very important,Important,Important,Slightly important,Important,Important,Important,Very important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Slightly important,Very important,Very important,Very important,Absolutely essential,Not at all important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Important,Important,Slightly important,Not at all important
redacted,2,2,Biomedical and/or health sciences,,,,,,,65,35,ALA-accredited master’s degree,,,,,,,Slightly important,Important,Slightly important,Important,Important,Important,Not at all important,Important,Not at all important,Very important,Very important,Important,Very important,Not at all important,Not at all important,Very important,Very important,Very important,Slightly important,Very important,Slightly important,Absolutely essential,Slightly important,Not at all important,Not at all important,Very important,Absolutely essential,Slightly important,Not at all important,Very important,Very important,Not at all important,Absolutely essential,Not at all important,Very important,Very important,Absolutely essential,Very important,Very important,Very important,Absolutely essential,Absolutely essential,Important,Absolutely essential,Not at all important,Not at all important,Not at all important,Not at all important
redacted,14,17,Biomedical and/or health sciences,,,,,,,10,90,ALA-accredited master’s degree,,,,,Specialized librarianship certification (such as data or medical library certification),"Other non-degree, non-certificate training in data, science, or specialized librarianship",Absolutely essential,Absolutely essential,Very important,Very important,Very important,Very important,Very important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Very important,Very important,Important,Don't know or N/A,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Important,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Very important,Slightly important,Very important,Very important,Don't know or N/A,Absolutely essential,Not at all important,Absolutely essential,Important,Absolutely essential,Absolutely essential,Important,Very important,Very important,Absolutely essential,Very important,Very important,Very important,Slightly important,Slightly important,Not at all important
redacted,10,11,Biomedical and/or health sciences,Life sciences,,,,,,80,20,ALA-accredited master’s degree,,,,PhD (any discipline),,"Other non-degree, non-certificate training in data, science, or specialized librarianship",Absolutely essential,Important,Important,Absolutely essential,Slightly important,Absolutely essential,Absolutely essential,Absolutely essential,Slightly important,Absolutely essential,Slightly important,Not at all important,Not at all important,Absolutely essential,Not at all important,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Important,Not at all important,Important,Slightly important,Not at all important,Slightly important,Not at all important,Absolutely essential,Important,Important,Absolutely essential,Very important,Absolutely essential,Very important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Very important,Important
redacted,11,11,Biomedical and/or health sciences,Life sciences,,,,,,40,60,ALA-accredited master’s degree,Science master’s degree,,Undergraduate science degree,,,,Very important,Very important,Important,Important,Important,Very important,Slightly important,Important,Slightly important,Very important,Important,Important,Very important,Not at all important,Slightly important,Slightly important,Slightly important,Important,Slightly important,Important,Important,Absolutely essential,Slightly important,Not at all important,Slightly important,Not at all important,Not at all important,Slightly important,Not at all important,Absolutely essential,Important,Slightly important,Absolutely essential,Not at all important,Slightly important,Slightly important,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Absolutely essential,Important,Not at all important,Not at all important,Important,Very important,Not at all important
